customer_id,age,gender,marital_status,dependents,location,contract_type,payment_method,monthly_charges,tenure_months,phone_service,internet_service,streaming_service,customer_rating,number_of_complaints,late_payments,last_interaction_days,churn
CUST-0001,56,Male,Married,No,Karachi,Month-to-Month,Credit Card,1890.15,16,Yes,No,No,1,1,3,332,1
CUST-0002,69,Female,Single,No,Lahore,Month-to-Month,Cash,5257.47,20,No,No,No,5,4,4,37,0
CUST-0003,46,Female,Single,No,Peshawar,Two Year,Bank Transfer,6637.36,43,No,No,No,5,5,9,101,1
CUST-0004,32,Female,Married,No,Karachi,One Year,Bank Transfer,5306.41,44,No,Yes,Yes,4,3,3,31,0
CUST-0005,60,Female,Married,Yes,Islamabad,Month-to-Month,Cash,2827.99,47,No,No,No,1,4,7,190,0
CUST-0006,25,Male,Single,No,Islamabad,Month-to-Month,Cash,5420.83,19,No,Yes,Yes,3,4,1,146,1
CUST-0007,38,Male,Married,Yes,Peshawar,Two Year,Bank Transfer,2078.46,48,No,No,Yes,1,5,8,90,0
CUST-0008,56,Male,Single,No,Islamabad,Two Year,Credit Card,2886.91,69,No,No,Yes,4,2,1,6,0
CUST-0009,36,Female,Married,Yes,Quetta,Month-to-Month,Cash,2300.52,11,Yes,No,No,1,0,1,139,1
CUST-0010,40,Male,Single,No,Peshawar,Month-to-Month,Credit Card,4676.94,29,Yes,Yes,No,3,3,1,95,0
CUST-0011,28,Male,Married,No,Karachi,Month-to-Month,Cash,1311.7,45,No,Yes,Yes,4,5,9,119,0
CUST-0012,28,Female,Married,Yes,Peshawar,Month-to-Month,Bank Transfer,7499.83,68,Yes,No,Yes,5,1,7,120,0
CUST-0013,41,Female,Single,No,Lahore,One Year,Credit Card,3001.34,36,No,Yes,No,1,1,2,123,1
CUST-0014,70,Male,Married,No,Peshawar,Two Year,Credit Card,2142.28,48,Yes,No,No,5,0,9,285,0
CUST-0015,53,Male,Single,No,Islamabad,Month-to-Month,Cash,4224.12,15,No,No,Yes,5,0,10,179,0
CUST-0016,57,Male,Single,Yes,Islamabad,Two Year,Credit Card,2577.48,44,Yes,No,No,2,2,9,325,0
CUST-0017,41,Male,Single,No,Quetta,Month-to-Month,Cash,4511.78,67,No,No,No,3,1,7,7,0
CUST-0018,20,Male,Single,Yes,Quetta,One Year,Bank Transfer,3113.82,40,Yes,Yes,Yes,1,3,6,312,1
CUST-0019,39,Male,Single,No,Quetta,One Year,Credit Card,1490.5,14,Yes,No,No,5,5,9,127,0
CUST-0020,70,Female,Married,No,Karachi,Month-to-Month,Cash,2494.21,63,No,Yes,No,5,0,3,77,0
CUST-0021,19,Female,Married,Yes,Quetta,Month-to-Month,Credit Card,3788.3,51,No,No,Yes,3,0,6,234,1
CUST-0022,41,Female,Single,No,Karachi,One Year,Cash,727.2,58,No,No,No,5,0,10,318,0
CUST-0023,61,Male,Married,No,Quetta,Month-to-Month,Cash,6279.82,15,Yes,No,Yes,5,5,7,74,1
CUST-0024,47,Female,Single,Yes,Karachi,Month-to-Month,Cash,5163.68,65,Yes,No,No,5,3,5,271,0
CUST-0025,55,Male,Married,No,Peshawar,One Year,Bank Transfer,5010.2,55,Yes,No,Yes,5,1,5,309,0
CUST-0026,19,Male,Married,Yes,Peshawar,Two Year,Credit Card,4595.37,10,Yes,Yes,No,2,3,2,120,0
CUST-0027,38,Female,Married,Yes,Islamabad,Month-to-Month,Bank Transfer,4927.35,42,No,Yes,Yes,2,5,4,35,1
CUST-0028,50,Male,Married,Yes,Karachi,Two Year,Cash,7509.89,11,No,No,No,4,3,9,207,0
CUST-0029,29,Male,Single,No,Lahore,Month-to-Month,Cash,564.27,16,Yes,Yes,No,1,2,1,270,0
CUST-0030,39,Female,Single,Yes,Islamabad,One Year,Bank Transfer,858.5,19,No,Yes,No,3,5,4,93,0
